USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1107  0.0  0.4  80912  9084 ?        Ssl  23:16   0:00   /usr/lib/upower/upowerd
colord    1123  0.0  0.5  42956 10160 ?        Ssl  23:16   0:00   /usr/lib/colord/colord
andrey    1168  0.0  0.2   6408  4108 ?        Ss   23:16   0:00   /lib/systemd/systemd --user
andrey    1169  0.0  0.0  24932  1228 ?        S    23:16   0:00     (sd-pam)
andrey    1174  0.0  0.3  39876  6512 ?        Sl   23:16   0:00   /usr/bin/gnome-keyring-daemon --daemonize --login
andrey    1210 55.3  0.1   8532  2772 ?        Sl   23:16   7:11   /usr/bin/VBoxClient --seamless
root      1742  0.0  0.3  53700  6952 ?        Ssl  23:18   0:00   /usr/lib/udisks2/udisksd --no-debug
  PID  PPID   UID CMD
 1176  1026  1000 /sbin/upstart --user
 1321  1176  1000   upstart-udev-bridge --daemon --user
 1333  1176  1000   dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-3ttSrPuQBY
 1345  1176  1000   /usr/lib/i386-linux-gnu/hud/window-stack-bridge
 1392  1176  1000   /usr/lib/i386-linux-gnu/bamf/bamfdaemon
 1395  1176  1000   upstart-dbus-bridge --daemon --system --user --bus-name system
 1396  1176  1000   upstart-dbus-bridge --daemon --session --user --bus-name session
 1398  1176  1000   upstart-file-bridge --daemon --user
 1400  1176  1000   /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
 1421  1400  1000     /usr/lib/ibus/ibus-dconf
 1425  1400  1000     /usr/lib/ibus/ibus-ui-gtk3
 1457  1400  1000     /usr/lib/ibus/ibus-engine-simple
 1407  1176  1000   /usr/lib/gvfs/gvfsd
 1413  1176  1000   /usr/lib/at-spi2-core/at-spi-bus-launcher
 1429  1413  1000     /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 1419  1176  1000   /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1430  1176  1000   /usr/lib/ibus/ibus-x11 --kill-daemon
 1438  1176  1000   /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1469  1176  1000   /usr/lib/dconf/dconf-service
 1486  1176  1000   /usr/lib/i386-linux-gnu/hud/hud-service
 1488  1176  1000   /usr/lib/unity-settings-daemon/unity-settings-daemon
 1495  1176  1000   /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1680  1495  1000     /usr/bin/gnome-software --gapplication-service
 1682  1495  1000     nautilus -n
 1684  1495  1000     nm-applet
 1686  1495  1000     /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 1706  1495  1000     /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 1864  1495  1000     zeitgeist-datahub
 1945  1495  1000     update-notifier
 1974  1495  1000     /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
 1512  1176  1000   /usr/lib/i386-linux-gnu/unity/unity-panel-service
 1548  1176  1000   /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
 1549  1176  1000   /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 1552  1176  1000   /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
 1559  1176  1000   /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
 1563  1176  1000   /usr/lib/i386-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
 1566  1176  1000   /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
 1569  1176  1000   /usr/lib/i386-linux-gnu/indicator-printers/indicator-printers-service
 1573  1176  1000   /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
 1583  1176  1000   /usr/lib/evolution/evolution-source-registry
 1588  1176  1000   /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
 1611  1176  1000   /usr/bin/pulseaudio --start --log-target=syslog
 1655  1176  1000   compiz
 1664  1176  1000   /usr/lib/evolution/evolution-calendar-factory
 1700  1664  1000     /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1664x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1664/2
 1756  1664  1000     /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1664x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1664/3
 1729  1176  1000   /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1754  1176  1000   /usr/lib/evolution/evolution-addressbook-factory
 1819  1754  1000     /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1754x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1754/2
 1788  1176  1000   /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1805  1176  1000   /usr/lib/gvfs/gvfs-goa-volume-monitor
 1828  1176  1000   /usr/lib/gvfs/gvfs-afc-volume-monitor
 1847  1176  1000   /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1880  1176  1000   /bin/sh -c /usr/lib/i386-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
 1884  1880  1000     /usr/bin/zeitgeist-daemon
 1906  1176  1000   /usr/lib/i386-linux-gnu/zeitgeist-fts
 1914  1176  1000   /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
